"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"11047",787.5840903,985.111,"PA 41:1 +1O","PA","IP_DAG","Orbi_1233",0,"+NP","negative"
"11048",820.6309481,978.307,"DGTS_DGTA 36:3","DGTS_DGTA","IP_DAG","Orbi_1233",0,"+NP","negative"
"11049",825.5714775,976.158,"MGDG 35:3","MGDG","IP_DAG","Orbi_1233",16027.275420605,"+NP","negative"
"11050",895.627041,974.0435,"PG 41:0 +3O","PG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11051",927.5174526,987.249,"DGDG 27:1 +3O","DGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11052",935.6473855,970.145,"MGDG 42:5 +1O","MGDG","IP_DAG","Orbi_1233",136003.022145658,"+NP","negative"
"11053",957.5908918,956.838,"PDPT 41:5 +2O","PDPT","IP_DAG","Orbi_1233",0,"+NP","negative"
"11054",967.5359048,989.623,"PDPT 41:8 +3O","PDPT","IP_DAG","Orbi_1233",21898.2501681915,"+NP","negative"
"11055",972.6526228,984.7565,"PC 42:4 +3O","PC","IP_DAG","Orbi_1233",0,"+NP","negative"
"11056",1017.650388,968.5795,"MGDG 46:8 +3O","MGDG","IP_DAG","Orbi_1233",42215.2911845561,"+NP","negative"
"11057",1035.694822,972.588,"PDPT 45:2 +3O","PDPT","IP_DAG","Orbi_1233",0,"+NP","negative"
"11058",1037.694324,962.8255,"S_DGCC 46:5 +3O","S_DGCC","IP_DAG","Orbi_1233",0,"+NP","negative"
"11059",1037.707557,970.0215,"PDPT 45:1 +3O","PDPT","IP_DAG","Orbi_1233",90767.7606588416,"+NP","negative"
"11060",397.2597296,379.215,"FFA 22:3 +4O","FFA","FFA","Orbi_1233",0,"+NP","negative"
"11061",495.2967583,321.833,"DAG 24:4 +3O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11062",547.364181,347.9675,"DAG 29:5 +2O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11063",614.3470073,318.077,"PE 26:4 +1O","PE","IP_DAG","Orbi_1233",0,"+NP","negative"
"11064",901.6003735,1068.355,"PDPT 39:3","PDPT","IP_DAG","Orbi_1233",133915.253082184,"+NP","negative"
"11065",1065.86432,1130.47,"UQ13:13","UQ13:13","ubiquinone","Orbi_1233",20029.6210050551,"+NP","negative"
"11066",709.598104,1065.205,"DAG 40:1 +2O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11067",847.6663627,1062.42,"DAG 48:4 +4O","DAG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11068",993.761175,1077.28,"MGDG 47:3","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"11069",1035.764598,1066.88,"PDPT 47:0 +1O","PDPT","IP_DAG","Orbi_1233",58832.9908361104,"+NP","negative"
"11070",1079.75821,1102.26,"PDPT 48:1 +3O","PDPT","IP_DAG","Orbi_1233",0,"+NP","negative"
